"","Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature","KWh_Class"
"1","12/1/2014",12,1,2014,0,1,1,0,51.98,"Above_Normal"
"2","12/1/2014",12,1,2014,1,1,1,0,51.98,"Above_Normal"
"3","12/1/2014",12,1,2014,2,1,1,0,51.08,"Above_Normal"
"4","12/1/2014",12,1,2014,3,1,1,0,51.08,"Above_Normal"
"5","12/1/2014",12,1,2014,4,1,1,0,51.08,"Above_Normal"
"6","12/1/2014",12,1,2014,5,1,1,0,51.08,"Above_Normal"
"7","12/1/2014",12,1,2014,6,1,1,1,50,"Above_Normal"
"8","12/1/2014",12,1,2014,7,1,1,1,53.06,"Above_Normal"
"9","12/1/2014",12,1,2014,8,1,1,1,55.94,"Above_Normal"
"10","12/1/2014",12,1,2014,9,1,1,1,60.08,"Above_Normal"
"11","12/1/2014",12,1,2014,10,1,1,1,60.08,"Above_Normal"
"12","12/1/2014",12,1,2014,11,1,1,1,62.06,"Above_Normal"
"13","12/1/2014",12,1,2014,12,1,1,1,62.96,"Above_Normal"
"14","12/1/2014",12,1,2014,13,1,1,1,60.98,"Above_Normal"
"15","12/1/2014",12,1,2014,14,1,1,1,57.92,"Above_Normal"
"16","12/1/2014",12,1,2014,15,1,1,1,55.04,"Above_Normal"
"17","12/1/2014",12,1,2014,16,1,1,1,53.06,"Above_Normal"
"18","12/1/2014",12,1,2014,17,1,1,1,51.08,"Above_Normal"
"19","12/1/2014",12,1,2014,18,1,1,1,48.92,"Above_Normal"
"20","12/1/2014",12,1,2014,19,1,1,1,48.02,"Above_Normal"
"21","12/1/2014",12,1,2014,20,1,1,0,46.94,"Above_Normal"
"22","12/1/2014",12,1,2014,21,1,1,0,42.98,"Above_Normal"
"23","12/1/2014",12,1,2014,22,1,1,0,41,"Above_Normal"
"24","12/1/2014",12,1,2014,23,1,1,0,39.02,"Above_Normal"
"25","12/2/2014",12,2,2014,0,2,1,0,37.94,"Above_Normal"
"26","12/2/2014",12,2,2014,1,2,1,0,37.04,"Above_Normal"
"27","12/2/2014",12,2,2014,2,2,1,0,35.96,"Above_Normal"
"28","12/2/2014",12,2,2014,3,2,1,0,35.06,"Above_Normal"
"29","12/2/2014",12,2,2014,4,2,1,0,35.06,"Above_Normal"
"30","12/2/2014",12,2,2014,5,2,1,0,33.98,"Above_Normal"
"31","12/2/2014",12,2,2014,6,2,1,1,33.98,"Above_Normal"
"32","12/2/2014",12,2,2014,7,2,1,1,33.08,"Above_Normal"
"33","12/2/2014",12,2,2014,8,2,1,1,33.08,"Above_Normal"
"34","12/2/2014",12,2,2014,9,2,1,1,33.98,"Above_Normal"
"35","12/2/2014",12,2,2014,10,2,1,1,35.06,"Above_Normal"
"36","12/2/2014",12,2,2014,11,2,1,1,37.04,"Above_Normal"
"37","12/2/2014",12,2,2014,12,2,1,1,37.04,"Above_Normal"
"38","12/2/2014",12,2,2014,13,2,1,1,37.04,"Above_Normal"
"39","12/2/2014",12,2,2014,14,2,1,1,37.04,"Above_Normal"
"40","12/2/2014",12,2,2014,15,2,1,1,37.22,"Above_Normal"
"41","12/2/2014",12,2,2014,16,2,1,1,35.96,"Above_Normal"
"42","12/2/2014",12,2,2014,17,2,1,1,35.96,"Above_Normal"
"43","12/2/2014",12,2,2014,18,2,1,1,36.68,"Above_Normal"
"44","12/2/2014",12,2,2014,19,2,1,1,37.04,"Above_Normal"
"45","12/2/2014",12,2,2014,20,2,1,0,37.67,"Above_Normal"
"46","12/2/2014",12,2,2014,21,2,1,0,39.02,"Above_Normal"
"47","12/2/2014",12,2,2014,22,2,1,0,39.32,"Above_Normal"
"48","12/2/2014",12,2,2014,23,2,1,0,41,"Above_Normal"
"49","12/3/2014",12,3,2014,0,3,1,0,42.89,"Above_Normal"
"50","12/3/2014",12,3,2014,1,3,1,0,43.82,"Above_Normal"
"51","12/3/2014",12,3,2014,2,3,1,0,44.96,"Above_Normal"
"52","12/3/2014",12,3,2014,3,3,1,0,44.78,"Above_Normal"
"53","12/3/2014",12,3,2014,4,3,1,0,45.14,"Above_Normal"
"54","12/3/2014",12,3,2014,5,3,1,0,45.23,"Above_Normal"
"55","12/3/2014",12,3,2014,6,3,1,1,37.58,"Above_Normal"
"56","12/3/2014",12,3,2014,7,3,1,1,37.22,"Above_Normal"
"57","12/3/2014",12,3,2014,8,3,1,1,37.94,"Above_Normal"
"58","12/3/2014",12,3,2014,9,3,1,1,39.02,"Above_Normal"
"59","12/3/2014",12,3,2014,10,3,1,1,40.1,"Above_Normal"
"60","12/3/2014",12,3,2014,11,3,1,1,44.06,"Above_Normal"
"61","12/3/2014",12,3,2014,12,3,1,1,46.31,"Above_Normal"
"62","12/3/2014",12,3,2014,13,3,1,1,50,"Above_Normal"
"63","12/3/2014",12,3,2014,14,3,1,1,51.08,"Above_Normal"
"64","12/3/2014",12,3,2014,15,3,1,1,51.44,"Above_Normal"
"65","12/3/2014",12,3,2014,16,3,1,1,50,"Above_Normal"
"66","12/3/2014",12,3,2014,17,3,1,1,50,"Above_Normal"
"67","12/3/2014",12,3,2014,18,3,1,1,50,"Above_Normal"
"68","12/3/2014",12,3,2014,19,3,1,1,49.46,"Above_Normal"
"69","12/3/2014",12,3,2014,20,3,1,0,48.02,"Above_Normal"
"70","12/3/2014",12,3,2014,21,3,1,0,42.98,"Above_Normal"
"71","12/3/2014",12,3,2014,22,3,1,0,42.08,"Above_Normal"
"72","12/3/2014",12,3,2014,23,3,1,0,39.92,"Above_Normal"
"73","12/4/2014",12,4,2014,0,4,1,0,39.02,"Above_Normal"
"74","12/4/2014",12,4,2014,1,4,1,0,37.94,"Above_Normal"
"75","12/4/2014",12,4,2014,2,4,1,0,37.94,"Above_Normal"
"76","12/4/2014",12,4,2014,3,4,1,0,37.04,"Above_Normal"
"77","12/4/2014",12,4,2014,4,4,1,0,37.04,"Above_Normal"
"78","12/4/2014",12,4,2014,5,4,1,0,33.98,"Above_Normal"
"79","12/4/2014",12,4,2014,6,4,1,1,33.98,"Above_Normal"
"80","12/4/2014",12,4,2014,7,4,1,1,35.06,"Above_Normal"
"81","12/4/2014",12,4,2014,8,4,1,1,37.94,"Above_Normal"
"82","12/4/2014",12,4,2014,9,4,1,1,39.92,"Above_Normal"
"83","12/4/2014",12,4,2014,10,4,1,1,41,"Above_Normal"
"84","12/4/2014",12,4,2014,11,4,1,1,42.08,"Above_Normal"
"85","12/4/2014",12,4,2014,12,4,1,1,42.98,"Above_Normal"
"86","12/4/2014",12,4,2014,13,4,1,1,42.98,"Above_Normal"
"87","12/4/2014",12,4,2014,14,4,1,1,42.08,"Above_Normal"
"88","12/4/2014",12,4,2014,15,4,1,1,39.92,"Above_Normal"
"89","12/4/2014",12,4,2014,16,4,1,1,37.04,"Above_Normal"
"90","12/4/2014",12,4,2014,17,4,1,1,35.96,"Above_Normal"
"91","12/4/2014",12,4,2014,18,4,1,1,33.98,"Above_Normal"
"92","12/4/2014",12,4,2014,19,4,1,1,33.08,"Above_Normal"
